"name","concept_id","source","code"
PIH Core food allergens,1421,PIH,"10458"
PIH Core environmental allergens,1442,PIH,"10459"
"Chest, abdomen and pelvis (CAP) with contrast (CT)",858,PIH,"10460"
Chest and abdomen with contrast (CT),862,PIH,"10461"
Chest and abdomen without contrast (CT),881,PIH,"10462"
"Chest, abdomen and pelvis (CAP) without contrast (CT)",877,PIH,"10463"
Zinc sulfate,2146,PIH,"10464"
Propylthiouracil,1981,PIH,"10465"
HEENT examination (text),1492,PIH,"10466"
Cardiac examination (text),1506,PIH,"10467"
General examination (text),1489,PIH,"10468"
Abdominal examination (text),1550,PIH,"10469"
Mental status exam findings,1632,PIH,"10470"
Chest examination (text),1628,PIH,"10471"
Mental status examination (text),1546,PIH,"10472"
Physical system concept set,1661,PIH,"10473"
Laboratory sets,3218,PIH,"10477"
Musculoskeletal examination (text),1611,PIH,"10481"
Urogenital examination (text),1474,PIH,"10482"
Procedure comment,1737,PIH,"10483"
Procedure performed,1730,PIH,"10484"
Procedure date/time,1731,PIH,"10485"
Procedure outcome satisfactory to physician,1735,PIH,"10486"
Procedure outcome unsatisfactory to physician,1733,PIH,"10487"
Procedure outcome unsatisfactory to patient,1732,PIH,"10488"
Procedure outcome satisfactory to patient,1734,PIH,"10489"
< 30 minutes,1143,PIH,"1049"
Procedure outcome,1736,PIH,"10490"
Procedure site (text),1729,PIH,"10491"
Procedure History,1738,PIH,"10492"
Docetaxel / Doxorubicin / Cyclophosphamide,247,PIH,"10493"
Palliative Single Agent - Doxorubicin,238,PIH,"10494"
Cyclophosphamide / Methotrexate / Fluorouracil,242,PIH,"10495"
Palliative tamoxifen,243,PIH,"10496"
Cyclophosphamide / Hydroxydaunorubicin / Oncovin / Prednisone,237,PIH,"10497"
Paclitaxel / Carboplatin,229,PIH,"10498"
Doxorubicin / Bleomycin / Vinblastine / Dacarbazine,234,PIH,"10499"
Intravenous drug use,3285,PIH,"105"
"30 to 60 minutes",1147,PIH,"1050"
Palliative Single Agent - 5FU/Leucovorin,246,PIH,"10500"
Cyclophosphamide / Oncovin / Prednisone,245,PIH,"10501"
Doxorubicin / Cyclophosphamide,233,PIH,"10502"
Palliative Single Agent - Paclitaxel,250,PIH,"10503"
"5FU / Leucovorin",244,PIH,"10504"
Palliative Single Agent - Cyclophosphamide,248,PIH,"10505"
Chemotherapy regimen,252,PIH,"10506"
Muscle Weakness,267,PIH,"10508"
Walking disability,254,PIH,"10509"
"1 to 2 hours",1144,PIH,"1051"
Numbness and tingling of skin,263,PIH,"10510"
Dyssomnia,261,PIH,"10511"
Chemotherapy side effect,269,PIH,"10512"
In remission,274,PIH,"10513"
Patient currently unavailable,276,PIH,"10514"
Worsening,278,PIH,"10515"
Stable but not improving,271,PIH,"10516"
Improving,272,PIH,"10517"
Metastatically recurrent tumor,277,PIH,"10518"
Locally recurrent tumor,275,PIH,"10519"
Cancer disease status,279,PIH,"10520"
Pain description and management plan (text),231,PIH,"10521"
Planned treatment interruption,265,PIH,"10522"
Follow-up with oncologist prior to continuing chemotherapy,239,PIH,"10523"
Continue treatment,259,PIH,"10524"
Chemotherapy treatment plan,270,PIH,"10525"
Medication prescribed at consult end,475,PIH,"10528"
NCD category,505,PIH,"10529"
Parity,3278,PIH,"1053"
Type of oncology visit,5732,PIH,"10530"
Oncology staging,5729,PIH,"10531"
Oncology treatment,5728,PIH,"10532"
Oncology diagnosis,5727,PIH,"10533"
Clinical management plan comment,41,PIH,"10534"
Post-prandial blood glucose,2916,PIH,"10535"
Fasting blood glucose,2918,PIH,"10536"
Diabetes panel,3208,PIH,"10537"
Total number of planned chemotherapy cycles,235,PIH,"10538"
Chemotherapy treatment received,257,PIH,"10539"
Civil status,102,PIH,"1054"
Chemotherapy treatment tolerated,253,PIH,"10540"
Hip circumference (cm),615,PIH,"10541"
Waist circumference (cm),442,PIH,"10542"
HUM Inpatient,604,PIH,"10543"
ZL Inpatient,605,PIH,"10544"
HUM Outpatient,610,PIH,"10545"
ZL Outpatient,598,PIH,"10546"
Known chronic disease before referral,493,PIH,"10547"
Prior treatment for chronic disease,628,PIH,"10548"
Chronic disease controlled during initial visit,471,PIH,"10549"
Known diagnosis,627,PIH,"10550"
Unaware of diagnosis,626,PIH,"10551"
Appearance at appointment time,625,PIH,"10552"
Between one and seven days,622,PIH,"10553"
Greater than 7,624,PIH,"10554"
Adhered to medicine for the past 2 days,613,PIH,"10555"
Letrozole,241,PIH,"10556"
NCD medications,549,PIH,"10557"
Anti-TB medication (generic),517,PIH,"10558"
ARV medication (generic),545,PIH,"10559"
Separated,98,PIH,"1056"
HIV laboratory set,3173,PIH,"10561"
PIH History Form Concept Set,1766,PIH,"10562"
Pediatric feeding concept set,931,PIH,"10563"
Infant feeding method,925,PIH,"10564"
Feeding method absent,923,PIH,"10565"
Feeding method age,924,PIH,"10566"
Pediatrics feeding history construct,926,PIH,"10567"
Zinc,435,PIH,"10568"
Iodine,436,PIH,"10569"
Never married,96,PIH,"1057"
Deworming,437,PIH,"10570"
Supplement received,439,PIH,"10571"
Age supplement received,433,PIH,"10572"
Supplement history construct,440,PIH,"10573"
Gross Motor Skills Evaluation (text),1610,PIH,"10574"
Fine Motor Skills Evaluation (text),1637,PIH,"10575"
Language Development Evaluation (text),1529,PIH,"10576"
Social Skills Evaluation (text),1476,PIH,"10577"
Disposition comment,1749,PIH,"10578"
Current Medications,1666,PIH,"10579"
Divorced,94,PIH,"1058"
Diagnostic Tests History,1716,PIH,"10580"
Zika virus,4746,PIH,"10581"
TB laboratory set,3213,PIH,"10582"
Laboratory orders for Zanmi Lasante,3128,PIH,"10583"
Zamni Lasante Depression Symptom Inventory Score,980,PIH,"10584"
Clinical Global Impressions Efficacy Score,984,PIH,"10585"
Clinical Global Impressions Severity Score,981,PIH,"10586"
Clinical Global Impressions Improvement Score,986,PIH,"10587"
Clinical Global Impressions Scale,987,PIH,"10588"
World Health Organization Disability Assessment Schedule 2.0 Score,983,PIH,"10589"
Widowed,97,PIH,"1059"
Center for Epidemiologic Studies Depression Scale score,989,PIH,"10590"
Abnormal Involuntary Movement Scale score,990,PIH,"10591"
Mental health scores,991,PIH,"10592"
Guillain-Barré syndrome,4367,PIH,"10593"
Mental health diagnosis,1048,PIH,"10594"
Liberia MoH diagnosis set,5393,PIH,"10595"
Onchocerciasis,5391,PIH,"10596"
Lassa Fever,5384,PIH,"10597"
Dextromethorphan / Guaifenesin,2300,PIH,"10598"
Primaquine,2065,PIH,"10599"
Upper respiratory infection,4888,PIH,"106"
Living with partner,101,PIH,"1060"
Hydrochlorothiazide / Lisinopril,2205,PIH,"10600"
Valsartan,2166,PIH,"10601"
Amlodipine / Atorvastatin,1968,PIH,"10602"
Dysarthria,4355,PIH,"10604"
Dysphasia due to Cerebrovascular Disease,4389,PIH,"10605"
Oropharyngeal Dysphagia,4370,PIH,"10606"
Autism,4371,PIH,"10607"
Mixed receptive-expressive language disorder,4362,PIH,"10608"
Strain of Rotator Cuff Capsule,4365,PIH,"10609"
Method of HIV exposure,3294,PIH,"1061"
Sacrum Sprain,4375,PIH,"10610"
Sprain of Back,4359,PIH,"10611"
Lumbago with Sciatica,4385,PIH,"10613"
"Dysphagia, Oral Phase",4351,PIH,"10614"
Esophageal Dysphagia,4368,PIH,"10615"
Rotator cuff rupture,4387,PIH,"10616"
Thoracic Back Sprain,4388,PIH,"10617"
Sprain of Cruciate Ligament of Knee,4378,PIH,"10618"
Neck sprain,4357,PIH,"10619"
Suspected past HIV exposure,3287,PIH,"1062"
Degeneration of Lumbosacral Intervertebral Disc,4369,PIH,"10620"
Lumbar Sprain,4386,PIH,"10621"
Sprain of posterior cruciate ligament of knee,4363,PIH,"10622"
Sprain of Anterior Cruciate Ligament of Knee,4382,PIH,"10623"
Speech and language deficits,4379,PIH,"10624"
Degeneration of Lumbar Intervertebral Disc,4384,PIH,"10625"
Knee Pain,4350,PIH,"10626"
Shoulder Joint Pain,4381,PIH,"10627"
Infantile Autism,4366,PIH,"10629"
Blood transfusion,3293,PIH,"1063"
Speech/Language disorder,4353,PIH,"10630"
Loss of Voice,4358,PIH,"10631"
Seizure frequency,977,PIH,"10632"
Suicidal thoughts,1051,PIH,"10633"
Mental health medication,1021,PIH,"10634"
Type of referral role,1026,PIH,"10635"
Mental health intervention,1020,PIH,"10636"
Medication comments (text),1038,PIH,"10637"
Psychotherapy,996,PIH,"10638"
Interpersonal psychotherapy,1005,PIH,"10639"
Psychoeducation,1011,PIH,"10640"
Relaxation,1008,PIH,"10641"
Family support,997,PIH,"10642"
Grief counseling,1009,PIH,"10643"
Parenting skills training,994,PIH,"10644"
Behavioral activation therapy,993,PIH,"10645"
Security plan,1002,PIH,"10646"
Role of referring person,1044,PIH,"10647"
Suicidal evaluation,1024,PIH,"10648"
Type of provider,1047,PIH,"10649"
Yes,1,PIH,"1065"
Number of days with difficulties in past 30 days,1022,PIH,"10650"
Number of days without normal activity or work in past 30 days,1050,PIH,"10651"
Number of days with reduced activity or work in past 30 days,1084,PIH,"10652"
Other medical service,1042,PIH,"10653"
Liberia diagnoses set of sets,6504,PIH,"10654"
ID Card Printing Requested,30,PIH,"10655"
ID Card Printing Successful,31,PIH,"10656"
No,2,PIH,"1066"
Orange,1269,PIH,"10666"
Yellow,1266,PIH,"10667"
Triage color classification,1271,PIH,"10668"
PIH Triage set,1276,PIH,"10669"
Unknown,5,PIH,"1067"
Triage queue status,1197,PIH,"10670"
Remove,1166,PIH,"10671"
Expire,1196,PIH,"10672"
Triage score,1163,PIH,"10673"
Triage diagnosis or symptom,1273,PIH,"10674"
Responds to pain,1203,PIH,"10675"
Responds to voice,1207,PIH,"10676"
Awake,1205,PIH,"10677"
Mobility,1170,PIH,"10678"
Unable to move,1169,PIH,"10679"
Foot ulcer,451,PIH,"10680"
Acute focal neurologic deficit,1211,PIH,"10682"
Floppy infant syndrome,1214,PIH,"10683"
Decreased consciousness,1210,PIH,"10684"
Chemical burn,1237,PIH,"10685"
Purpura,1231,PIH,"10686"
Persistent vomiting,1243,PIH,"10688"
Constantly crying,1215,PIH,"10689"
Incoherent Speech,1230,PIH,"10690"
Anuria,1229,PIH,"10691"
Significant burn of skin,1236,PIH,"10692"
Post-ictal phase of epileptic seizure,1212,PIH,"10693"
Threatened limb,1220,PIH,"10694"
Dislocation of large joint,1225,PIH,"10695"
Dislocation of small joint,1219,PIH,"10696"
Uncontrolled hemorrhage,1224,PIH,"10697"
Controlled hemorrhage,1221,PIH,"10698"
